batch_id,start_idx,end_idx,size,status,attempts,last_error,updated_at
1,0,20,20,success,1,,2026-03-15T04:20:08.854183Z
2,20,40,20,success,1,,2025-12-10T01:02:25.430069Z
3,40,60,20,success,1,,2025-12-10T01:03:47.670302Z
4,60,80,20,success,1,,2025-12-10T01:05:22.222551Z
5,80,100,20,success,1,,2025-12-10T01:06:14.558649Z
6,100,120,20,success,1,,2025-12-10T01:07:32.351135Z
7,120,140,20,success,1,,2025-12-10T01:08:37.202272Z
8,140,160,20,success,1,,2025-12-10T01:10:10.566182Z
9,160,180,20,success,1,,2025-12-10T01:11:23.398880Z
10,180,200,20,success,1,,2025-12-10T01:12:47.258401Z
11,200,220,20,success,1,,2025-12-10T01:13:58.758619Z
12,220,240,20,success,1,,2025-12-10T01:15:32.123142Z
13,240,260,20,success,1,,2025-12-10T01:19:27.129997Z
14,260,280,20,success,1,,2025-12-10T01:19:57.588299Z
15,280,300,20,success,1,,2025-12-10T01:20:35.781214Z
16,300,320,20,success,1,,2025-12-10T01:21:54.005310Z
17,320,340,20,success,1,,2025-12-10T01:22:51.874639Z
18,340,360,20,success,1,,2025-12-10T01:23:49.656174Z
19,360,380,20,success,1,,2025-12-10T01:25:06.652722Z
20,380,400,20,success,1,,2025-12-10T01:26:36.190232Z
21,400,420,20,success,1,,2025-12-10T01:28:19.167003Z
22,420,440,20,success,1,,2025-12-10T01:29:06.159550Z
23,440,460,20,success,1,,2025-12-10T01:30:16.620089Z
24,460,480,20,success,1,,2025-12-10T01:30:53.032790Z
25,480,500,20,success,1,,2025-12-10T01:31:16.127510Z
26,500,520,20,success,1,,2025-12-10T01:32:09.066873Z
27,520,540,20,success,1,,2025-12-10T01:32:50.632457Z
28,540,560,20,success,1,,2025-12-10T01:33:28.015731Z
29,560,580,20,success,1,,2025-12-10T01:34:10.707631Z
30,580,600,20,success,1,,2025-12-10T01:34:57.996362Z
31,600,620,20,success,1,,2025-12-10T01:35:36.332522Z
32,620,640,20,success,1,,2025-12-10T01:36:47.653072Z
33,640,660,20,success,1,,2025-12-10T01:37:47.199573Z
34,660,680,20,success,1,,2025-12-10T01:38:47.755050Z
35,680,685,5,success,1,,2025-12-10T01:39:34.928027Z
