ลำดับ,ชื่อชุดการแสดง,words
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, การรบ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา"
2,กีปัสเรนัง,"ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, สิ่งชั่วร้าย"
3,จตุรภาคี,"ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง"
4,เจ้าพระยานที,"ความสำนึก, ฝั่งน้ำ, พระยา, สำนึก, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา"
5,ชาติพันธุ์สราญ,"การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, ไทยจีน, ไทยทรงดำ, ไทยรามัญ"
6,ชาวดอย,"การประกอบอาชีพ, ผูกพัน, ภาคเหนือ, สืบทอด, เกษตรกรรม"
7,ตะกล้อล้อท่า,"กระบวนท่ารำ, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ท่าทาง, นานาชาติ, ฟาดฟัน, ศีรษะ, แม่ท่า"
8,นบนที,"ขอขมา, พระแม่คงคา, ลอยกระทง, สิ่งศักดิ์สิทธิ์"
9,นักษัตร,"กระบวนท่ารำ, นักษัตร, ปกป้อง"
10,นาฏ ณ วัง,"ความภาคภูมิใจ, นาฏกรรม, พระราชวังบวรสถานมงคล, วังหน้า, หนังใหญ่"
11,นาฏยมวยไทย,"บรรพบุรุษ, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว"
12,ผืนไท,"ธงไทย, พระมหากษัตริย์, ร่มเย็น, อาณาประชาราษฎร์"
13,พนาธาร,ผูกพัน
14,ฟ้อนขันดอก,"กระบวนท่ารำ, ขันดอก, ภาคเหนือ, ล้านนา"
15,ฟ้อนลีลาวดี,"ต้นลีลาวดี, ต้นไม้, พระอุโบสถ, ร่มเย็น, วังหน้า, สุทธาวาส"
16,ระบำม้า,การเดินทาง
17,ระบำอยุธยา,"ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, สังคีตศิลป์, อยุธยา, เป็นครั้งแรก"
18,รับขวัญข้าว,"การทำขวัญ, จารีตประเพณี, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, รุ่นหลัง, หล่อเลี้ยง"
19,ล่องใต้,"การประกอบอาชีพ, ดินแดน, ภาคใต้"
20,ลายเกราะ,"ดนตรีพื้นบ้าน, ภาคอีสาน, อีสาน, เกราะลอ, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน"
21,ลีลาหมากแก๊ป,"ชาวบ้าน, ดนตรีพื้นบ้าน, หญิงสาว, หมากกั๊บแก๊บ, อีสาน, เครื่องดนตรี, เครื่องดนตรีพื้นบ้าน, ไม้ยาว, ไม้สั้น"
22,วิรัชสราญรมย์,"ตะวันตก, ท่าทาง, เพลงสากล, เพลงไทย"
23,สยามภารตะ,"กระบวนท่ารำ, การหลอมรวม, ดินแดน, นาฏศิลป์อินเดีย, ภารตนาฏยัม, อารยธรรม, อินเดีย, โอดิสสี"
24,สักการะเทวราช,"กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, ตำรา, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระอินทร์, มหรสพ, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ"
25,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, เครื่องประดับ"
26,พลองไม้สั้น,"กระทุ้ง, ขั้นพื้นฐาน, ความว่องไว, ตัวต่อตัว, ต่อสู้, ประชิดตัว, ผู้แสดง, ลูกไม้, สัตว์น้ำ, สีแดง, ไม้สั้น"
27,มวยคาดเชือก,"ความคล่องแคล่ว, ต่อสู้, ผู้แสดง, มวยไทย, รับใช้, สมัยโบราณ, สัตว์น้ำ, แม่ไม้มวย"
28,ระบำชาวนา,"การประกอบอาชีพ, การไถ, ชาวนา, ผู้แสดง"
29,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, ยั่วเย้า, หยอกล้อ, เถิดเทิง"
30,รำวงมาตรฐาน,"กระบวนท่ารำ, การรบ, ชาวไทย, ภาคกลาง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงหญิงไทยใจงาม"
31,รำสีนวล,"การขับร้อง, กุลสตรี"
32,โนรา,"กินรี, ชาวไทย, บูชาครู, ภาคใต้, มรดกภูมิปัญญาทางวัฒนธรรม, มีแบบแผน, มโนราห์, ยูเนสโก, สวัสดิมงคล"
33,รองเง็ง,"ค้าขาย, งานรื่นเริง, ชายแดน, ชาวไทย, ตะวันตก, ผู้แสดง, ภาคใต้, มลายู, โปรตุเกส"
34,ระบำตารีกีปัส,"ตะวันตก, ตารี, ตารีกีปัส, ผู้แสดง, ภาคใต้, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องประกอบจังหวะ"
35,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวไทย, ช่อดอกไม้, ตารี, ตารีบุหงา, ผู้แสดง, พื้นบ้านภาคใต้, ภาคใต้, มลายู, มุสลิม, รำลึก"
36,ระบำร่อนแร่,"การประกอบอาชีพ, การร่อนแร่, งานรื่นเริง, ภาคใต้, หญิงสาว"
37,กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, การรบ, การศึก, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ความว่องไว, ท่าทาง, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, สีน้ำเงิน, ออกรบ, โลดโผน"
38,ฟ้อนจันทราพาฝัน,"ชาวเหนือ, ผู้หญิง, ศิลปินแห่งชาติ, หญิงสาว, เพลงลาวคำหอม, แสงจันทร์"
39,ฟ้อนเจิง,"ต่อสู้, ภาคเหนือ, ล้านนา"
40,ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, ชายหนุ่ม, พระนิพนธ์, หญิงสาว, เพลงอัตราจังหวะสองชั้น"
41,ฟ้อนที,"ดนตรีพื้นบ้าน, ภาคเหนือ, แม่ฮ่องสอน"
42,ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว"
