Model,Seed,MAX_CANDS,best_b_cbf,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,cbf_model,cf_model,blend_method,method_params,is_selected_best,blend_params,explanation_type,explanation_distribution,reason_th,topk_longtail_rate_mean_x,topk_avg_popularity_mean_x,coverage_item_catalog_rate,faithfulness_mean_rank_drop,model_family,model_name,run_id,config_hash,xai_conf_mean,xai_coverage_rate_topk,xai_balanced_rate,xai_faithfulness_drop_mean,topk_longtail_rate_mean_y,topk_avg_popularity_mean_y,ndcg_cold_mean,ndcg_heavy_mean,ndcg_mid_mean,hr_cold_mean,hr_heavy_mean,hr_mid_mean,mrr_cold_mean,mrr_heavy_mean,mrr_mid_mean
CBF-paraphrase-multilingual-mpnet-base-v2,42,50,0.3,1.0,0.7610887938938091,0.9807692307692307,0.6934930809930809,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,123,50,0.3,1.0,0.7211916532371578,0.9743589743589743,0.6405219780219779,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,999,50,0.3,1.0,0.7717040725315523,0.9807692307692307,0.7040394790394788,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,2024,50,0.3,1.0,0.7500152214052174,0.9423076923076923,0.6879858567358565,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,555,50,0.3,1.0,0.7868720062553518,0.9743589743589743,0.7276912901912903,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,42,100,0.3,1.0,0.7519256864326679,0.9423076923076923,0.6917709605209605,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,123,100,0.3,1.0,0.734080654815976,0.9615384615384616,0.6606049043549044,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,999,100,0.3,1.0,0.7970570523359262,0.967948717948718,0.7417277167277166,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,2024,100,0.3,1.0,0.7340063853872242,0.9551282051282052,0.6639448514448514,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,555,100,0.3,1.0,0.7578725685915005,0.9551282051282052,0.6950625763125763,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,42,200,0.3,1.0,0.7169086642416251,0.9551282051282052,0.6425493487993488,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,123,200,0.3,1.0,0.7484270209656826,0.9807692307692307,0.6748702686202686,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,999,200,0.3,1.0,0.7699471807494179,0.9551282051282052,0.711553724053724,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,2024,200,0.3,1.0,0.7380991237888482,0.9807692307692307,0.6634310134310133,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-paraphrase-multilingual-mpnet-base-v2,555,200,0.3,1.0,0.7947677023215569,0.967948717948718,0.7404354904354905,156,156,,,,,,True,,,,,,,,,CBF,paraphrase-multilingual-mpnet-base-v2,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,42,50,0.2,1.0,0.7176319719694613,0.9935897435897436,0.6305250305250305,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,123,50,0.3,1.0,0.692453451750973,0.9871794871794872,0.5996845746845747,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,999,50,0.2,1.0,0.7476692746423902,0.9615384615384616,0.6808608058608059,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,2024,50,0.2,1.0,0.6900610191607446,0.967948717948718,0.6022079772079773,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,555,50,0.2,1.0,0.7473001473433922,0.9743589743589743,0.6763202075702078,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,42,100,0.2,1.0,0.7129255391771134,0.9551282051282052,0.6348773911273909,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
CBF-wangchanberta-base-att-spm-uncased,123,100,0.2,1.0,0.740476958143258,1.0,0.6576516076516078,156,156,,,,,,True,,,,,,,,,CBF,wangchanberta-base-att-spm-uncased,3761e57c-42ed-41ff-911f-34561beb1d4b,d3fca8b239cb,,,,,,,,,,,,,,,
