MAX_CANDS,model_family,Model,Coverage,nDCG@10,HR@10,MRR@10
50,CBF,CBF-multilingual-e5-large,1.0000±0.0000,0.8708±0.0207,0.9962±0.0035,0.8295±0.0271
50,CBF,CBF-bge-m3,1.0000±0.0000,0.8611±0.0137,0.9949±0.0054,0.8170±0.0181
50,HYBRID,Hybrid-multilingual-e5-large-LightGCN,1.0000±0.0000,0.8317±0.0264,0.9897±0.0116,0.7791±0.0353
50,CBF,CBF-paraphrase-multilingual-mpnet-base-v2,1.0000±0.0000,0.7582±0.0247,0.9705±0.0161,0.6907±0.0319
50,CF,CF-LightGCN,1.0000±0.0000,0.7360±0.0231,0.9654±0.0097,0.6624±0.0281
50,CBF,CBF-wangchanberta-base-att-spm-uncased,1.0000±0.0000,0.7190±0.0281,0.9769±0.0133,0.6379±0.0391
50,CBF,CBF-Qwen2-0.5B,1.0000±0.0000,0.7091±0.0355,0.9641±0.0057,0.6285±0.0451
50,CF,CF-SVD,1.0000±0.0000,0.6971±0.0172,0.9577±0.0116,0.6144±0.0228
50,CF,CF-NCF,1.0000±0.0000,0.5775±0.0447,0.8269±0.0557,0.5008±0.0427
50,CF,CF-ItemKNN,1.0000±0.0000,0.4130±0.0191,0.7577±0.0309,0.3051±0.0160
50,POP,POP-Context,1.0000±0.0000,0.2345±0.0264,0.4269±0.0303,0.1760±0.0258
50,POP,POP-Global,1.0000±0.0000,0.2345±0.0264,0.4269±0.0303,0.1760±0.0258
100,CBF,CBF-multilingual-e5-large,1.0000±0.0000,0.8719±0.0160,0.9923±0.0084,0.8321±0.0191
100,CBF,CBF-bge-m3,1.0000±0.0000,0.8568±0.0175,0.9872±0.0111,0.8137±0.0200
100,HYBRID,Hybrid-multilingual-e5-large-LightGCN,1.0000±0.0000,0.8456±0.0158,0.9846±0.0057,0.7995±0.0207
100,CBF,CBF-paraphrase-multilingual-mpnet-base-v2,1.0000±0.0000,0.7550±0.0258,0.9564±0.0095,0.6906±0.0326
100,CF,CF-LightGCN,1.0000±0.0000,0.7386±0.0316,0.9615±0.0150,0.6668±0.0394
100,CBF,CBF-wangchanberta-base-att-spm-uncased,1.0000±0.0000,0.7191±0.0332,0.9577±0.0259,0.6432±0.0393
100,CBF,CBF-Qwen2-0.5B,1.0000±0.0000,0.7081±0.0269,0.9577±0.0190,0.6286±0.0356
100,CF,CF-SVD,1.0000±0.0000,0.7066±0.0247,0.9513±0.0154,0.6289±0.0283
100,CF,CF-NCF,1.0000±0.0000,0.5779±0.0473,0.8103±0.0574,0.5067±0.0448
100,CF,CF-ItemKNN,1.0000±0.0000,0.3919±0.0233,0.7244±0.0374,0.2881±0.0194
100,POP,POP-Context,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
100,POP,POP-Global,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
200,CBF,CBF-bge-m3,1.0000±0.0000,0.8633±0.0151,0.9974±0.0057,0.8196±0.0208
200,CBF,CBF-multilingual-e5-large,1.0000±0.0000,0.8618±0.0110,0.9962±0.0035,0.8176±0.0152
200,HYBRID,Hybrid-multilingual-e5-large-LightGCN,1.0000±0.0000,0.8259±0.0275,0.9821±0.0131,0.7743±0.0337
200,CBF,CBF-paraphrase-multilingual-mpnet-base-v2,1.0000±0.0000,0.7536±0.0299,0.9679±0.0128,0.6866±0.0392
200,CF,CF-LightGCN,1.0000±0.0000,0.7370±0.0263,0.9692±0.0084,0.6628±0.0326
200,CBF,CBF-wangchanberta-base-att-spm-uncased,1.0000±0.0000,0.7163±0.0152,0.9564±0.0131,0.6404±0.0218
200,CBF,CBF-Qwen2-0.5B,1.0000±0.0000,0.7037±0.0165,0.9538±0.0084,0.6247±0.0207
200,CF,CF-SVD,1.0000±0.0000,0.6993±0.0161,0.9564±0.0153,0.6181±0.0209
200,CF,CF-NCF,1.0000±0.0000,0.5735±0.0432,0.8038±0.0404,0.5027±0.0444
200,CF,CF-ItemKNN,1.0000±0.0000,0.3936±0.0188,0.7218±0.0341,0.2912±0.0149
200,POP,POP-Context,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
200,POP,POP-Global,1.0000±0.0000,0.2276±0.0259,0.4077±0.0316,0.1727±0.0252
