MAX_CANDS,hybrid_method,Coverage,nDCG@10,HR@10,MRR@10,times_selected,n_seeds_success
50,RRF,1.0000±0.0000,0.8317±0.0264,0.9897±0.0116,0.7791±0.0353,5,5
50,Cascade,1.0000±0.0000,0.8261±0.0298,0.9795±0.0095,0.7753±0.0384,0,5
50,WeightedSum,1.0000±0.0000,0.8204±0.0335,0.9731±0.0139,0.7698±0.0433,0,5
50,Switching,1.0000±0.0000,0.7420±0.0237,0.9487±0.0101,0.6751±0.0307,0,5
100,RRF,1.0000±0.0000,0.8456±0.0158,0.9846±0.0057,0.7995±0.0207,5,5
100,Cascade,1.0000±0.0000,0.8329±0.0258,0.9705±0.0133,0.7875±0.0306,0,5
100,WeightedSum,1.0000±0.0000,0.8306±0.0232,0.9641±0.0116,0.7867±0.0275,0,5
100,Switching,1.0000±0.0000,0.7301±0.0321,0.9410±0.0139,0.6615±0.0394,0,5
200,RRF,1.0000±0.0000,0.8259±0.0275,0.9821±0.0131,0.7743±0.0337,5,5
200,Cascade,1.0000±0.0000,0.8155±0.0260,0.9718±0.0116,0.7641±0.0317,0,5
200,WeightedSum,1.0000±0.0000,0.8087±0.0271,0.9679±0.0181,0.7569±0.0311,0,5
200,Switching,1.0000±0.0000,0.7164±0.0323,0.9359±0.0136,0.6453±0.0398,0,5
