model_family,Model,model_name,MAX_CANDS,user_bin,nDCG10_mean,nDCG10_std,HR10_mean,HR10_std,MRR10_mean,MRR10_std,n_users,n_interactions,feasible_cases,total_cases,n_seeds_success,bin_rule,nDCG@10,HR@10,MRR@10
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,50,cold,0.7115271004581469,0.2988022614956813,0.9646017699115044,0.18494792921707598,0.6311907463234896,0.3674134085348347,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7115±0.2988,0.9646,0.6312
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,50,heavy,0.6992511888433869,0.3264545738883649,0.9666666666666667,0.18257418583505536,0.6182275132275132,0.4036912459642327,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.6993±0.3265,0.9667,0.6182
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,50,mid,0.7034693766569061,0.3042332106275158,0.9621621621621622,0.19132170629504508,0.6217374517374518,0.3735159149401048,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7035±0.3042,0.9622,0.6217
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,100,cold,0.6985785445480867,0.29976003305917115,0.95929203539823,0.1977879300496673,0.6154817208357032,0.3659880258864871,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.6986±0.2998,0.9593,0.6155
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,100,heavy,0.7105785857941574,0.3640330498144175,0.9,0.30512857662936466,0.6525396825396825,0.4181662825383655,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.7106±0.3640,0.9000,0.6525
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,100,mid,0.7367179071377215,0.30183778396074645,0.9621621621621622,0.19132170629504497,0.66496567996568,0.3697683895622523,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7367±0.3018,0.9622,0.6650
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,200,cold,0.7045125909031674,0.31454584051259565,0.9486725663716814,0.22086027973472577,0.6276087825645348,0.37916383545010185,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.7045±0.3145,0.9487,0.6276
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,200,heavy,0.6947062974868263,0.3283057409792074,0.9333333333333333,0.2537081317024624,0.6197089947089948,0.38760229087515236,6,21.666666666666668,30,30,5,"≤12,13–19,≥20",0.6947±0.3283,0.9333,0.6197
CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,200,mid,0.7026740941633628,0.29147552919395586,0.972972972972973,0.16260222311279166,0.6166934161051808,0.36317112971608495,37,15.837837837837839,185,185,5,"≤12,13–19,≥20",0.7027±0.2915,0.9730,0.6167
CBF,CBF-bge-m3,bge-m3,50,cold,0.8687592075904103,0.22524914744476127,0.9964601769911504,0.059443643284366174,0.8269286416631549,0.2936194108367996,113,4.707964601769912,565,565,5,"≤12,13–19,≥20",0.8688±0.2252,0.9965,0.8269
