sub_context,ctx_sz_raw_mean,ctx_sz_raw_median,ctx_sz_mean,ctx_sz_median,kw_hit_sz_mean,kw_hit_sz_median,hit_ratio_mean,hit_ratio_median,n_queries,zero_hit_rate
การเผยแพร่วัฒนธรรมต่างประเทศ,66.0,66.0,66.0,66.0,7.681592039800995,6.0,0.11638775817880295,0.09090909090909091,201,0.0
การเผยแพร่วัฒนธรรมในประเทศ,108.0,108.0,108.0,108.0,8.974712643678162,5.0,0.08309919114516814,0.046296296296296294,435,0.0
งานขึ้นบ้านใหม่,43.0,43.0,43.0,43.0,5.950617283950617,3.0,0.13838644846396786,0.06976744186046512,81,0.0
งานฌาปนกิจศพ,40.0,40.0,40.0,40.0,6.285714285714286,5.0,0.15714285714285714,0.125,168,0.0
งานต้อนรับอาคันตุกะ,64.0,64.0,64.0,64.0,5.580246913580247,4.0,0.08719135802469136,0.0625,162,0.0
งานทำบุญ,47.0,47.0,47.0,47.0,4.747747747747748,3.0,0.10101590952654783,0.06382978723404255,111,0.0
งานบวงสรวง,30.0,30.0,30.0,30.0,4.878787878787879,3.0,0.16262626262626262,0.1,66,0.0
งานพระราชทานเพลิงศพ,36.0,36.0,36.0,36.0,6.203389830508475,4.0,0.17231638418079095,0.1111111111111111,177,0.0
งานวันเกิด,44.0,44.0,44.0,44.0,4.698412698412699,4.0,0.10678210678210678,0.09090909090909091,63,0.0
งานสวดมนต์ข้ามปี,29.0,29.0,29.0,29.0,2.761904761904762,2.0,0.09523809523809523,0.06896551724137931,21,0.0
งานสวดอภิธรรม,40.0,40.0,40.0,40.0,4.6725146198830405,4.0,0.11681286549707603,0.1,171,0.0
งานสโมสรสันนิบาต,16.0,16.0,16.0,16.0,1.7083333333333333,1.0,0.10677083333333333,0.0625,24,0.0
งานเฉลิมพระชนมพรรษาพระบรมวงศานุวงศ์,23.0,23.0,23.0,23.0,4.487179487179487,3.0,0.19509476031215162,0.13043478260869565,39,0.0
งานเทศมหาชาติ,22.0,22.0,22.0,22.0,1.75,1.0,0.07954545454545454,0.045454545454545456,12,0.0
งานเปิดบริษัท,47.0,47.0,47.0,47.0,6.653333333333333,6.0,0.14156028368794327,0.1276595744680851,75,0.0
งานแต่งงาน,33.0,33.0,33.0,33.0,4.666666666666667,3.0,0.14141414141414144,0.09090909090909091,63,0.0
งานไหว้ครู,23.0,23.0,23.0,23.0,3.5,3.0,0.15217391304347824,0.13043478260869565,24,0.0
วันขึ้นปีใหม่,60.0,60.0,60.0,60.0,8.510416666666666,7.0,0.14184027777777777,0.11666666666666667,96,0.0
วันตรุษจีน,38.0,38.0,38.0,38.0,5.942028985507246,5.0,0.15636918382913806,0.13157894736842105,69,0.0
วันลอยกระทง,54.0,54.0,54.0,54.0,6.354838709677419,5.0,0.11768219832735961,0.09259259259259259,93,0.0
วันวิสาขบูชา,19.0,19.0,19.0,19.0,4.0,4.0,0.21052631578947367,0.21052631578947367,9,0.0
วันสงกรานต์,62.0,62.0,62.0,62.0,7.839506172839506,6.0,0.1264436479490243,0.0967741935483871,162,0.0
วันออกพรรษา,19.0,19.0,19.0,19.0,1.8333333333333333,1.5,0.09649122807017545,0.07894736842105263,6,0.0
วันเข้าพรรษา,19.0,19.0,19.0,19.0,3.0,3.5,0.15789473684210525,0.18421052631578946,12,0.0
