MAX_CANDS,hybrid_method,cov_mean,cov_std,ndcg_mean,ndcg_std,hr_mean,hr_std,mrr_mean,mrr_std,times_selected,n_seeds_success,Coverage,nDCG@10,HR@10,MRR@10
50,RRF,1.0,0.0,0.8316972922167928,0.026438361430468984,0.9897435897435898,0.01164480905422111,0.7791015466015466,0.03527261839249265,5,5,1.0000±0.0000,0.8317±0.0264,0.9897±0.0116,0.7791±0.0353
50,Cascade,1.0,0.0,0.8260900496146526,0.029844055705387243,0.9794871794871796,0.009507946778327786,0.775336902596667,0.03842211447099416,0,5,1.0000±0.0000,0.8261±0.0298,0.9795±0.0095,0.7753±0.0384
50,WeightedSum,1.0,0.0,0.820382660992189,0.03354395466254612,0.973076923076923,0.013897104736332561,0.7697970557332907,0.043324240964126355,0,5,1.0000±0.0000,0.8204±0.0335,0.9731±0.0139,0.7698±0.0433
50,Switching,1.0,0.0,0.7419515676323641,0.023730590315465913,0.9487179487179487,0.010135505321052533,0.6750686813186814,0.030650671648873223,0,5,1.0000±0.0000,0.7420±0.0237,0.9487±0.0101,0.6751±0.0307
100,RRF,1.0,0.0,0.8455691339399418,0.01579092737288584,0.9846153846153847,0.0057335076346148785,0.7994810744810745,0.02066376111220467,5,5,1.0000±0.0000,0.8456±0.0158,0.9846±0.0057,0.7995±0.0207
100,Cascade,1.0,0.0,0.8328861844289079,0.025818350655805872,0.9705128205128204,0.013292590611107529,0.787453221839683,0.030647830227068993,0,5,1.0000±0.0000,0.8329±0.0258,0.9705±0.0133,0.7875±0.0306
100,WeightedSum,1.0,0.0,0.8305876919771652,0.023187301127624117,0.964102564102564,0.01164480905422112,0.7866657815824284,0.027532531466797412,0,5,1.0000±0.0000,0.8306±0.0232,0.9641±0.0116,0.7867±0.0275
100,Switching,1.0,0.0,0.7301432131037993,0.032086780331339874,0.941025641025641,0.013897104736332572,0.6614550264550266,0.0393714474084791,0,5,1.0000±0.0000,0.7301±0.0321,0.9410±0.0139,0.6615±0.0394
200,RRF,1.0,0.0,0.8259060244203542,0.02751348647739522,0.9820512820512821,0.013137116366614864,0.7742501942501943,0.03374477810681599,5,5,1.0000±0.0000,0.8259±0.0275,0.9821±0.0131,0.7743±0.0337
200,Cascade,1.0,0.0,0.8155316216722766,0.025951604037536536,0.9717948717948719,0.011644809054221121,0.764121124337545,0.03169912127207707,0,5,1.0000±0.0000,0.8155±0.0260,0.9718±0.0116,0.7641±0.0317
200,WeightedSum,1.0,0.0,0.8086871352187857,0.027118505417078186,0.9679487179487178,0.018130943107347402,0.7568638623687446,0.031125512060377038,0,5,1.0000±0.0000,0.8087±0.0271,0.9679±0.0181,0.7569±0.0311
200,Switching,1.0,0.0,0.7163783946844984,0.03228747968941481,0.9358974358974359,0.013598207330510492,0.6453154253154254,0.03975245959424094,0,5,1.0000±0.0000,0.7164±0.0323,0.9359±0.0136,0.6453±0.0398
