MAX_CANDS,model_family,Model,model_name,cov_mean,cov_std,ndcg_mean,ndcg_std,hr_mean,hr_std,mrr_mean,mrr_std,feasible_cases_mean,n_seeds_success,Coverage,nDCG@10,HR@10,MRR@10
50,CBF,CBF-multilingual-e5-large,multilingual-e5-large,1.0,0.0,0.8708019985178801,0.020655089990539704,0.9961538461538462,0.0035110420352895137,0.8294836182336182,0.02713098913127005,156.0,5,1.0000±0.0000,0.8708±0.0207,0.9962±0.0035,0.8295±0.0271
50,CBF,CBF-bge-m3,bge-m3,1.0,0.0,0.8610840516170313,0.013695699542359111,0.9948717948717949,0.005363205298295337,0.8169897232397233,0.0180917320393276,156.0,5,1.0000±0.0000,0.8611±0.0137,0.9949±0.0054,0.8170±0.0181
50,HYBRID,Hybrid-multilingual-e5-large-LightGCN,Hybrid-multilingual-e5-large-LightGCN,1.0,0.0,0.8316972922167928,0.026438361430468984,0.9897435897435898,0.01164480905422111,0.7791015466015466,0.03527261839249265,156.0,5,1.0000±0.0000,0.8317±0.0264,0.9897±0.0116,0.7791±0.0353
50,CBF,CBF-paraphrase-multilingual-mpnet-base-v2,paraphrase-multilingual-mpnet-base-v2,1.0,0.0,0.7581743494646177,0.024745676838691534,0.9705128205128204,0.016089615894886066,0.6907463369963369,0.03193465312240719,156.0,5,1.0000±0.0000,0.7582±0.0247,0.9705±0.0161,0.6907±0.0319
50,CF,CF-LightGCN,LightGCN,1.0,0.0,0.7360372312033253,0.02308350073336202,0.9653846153846153,0.009721635184681441,0.6624358974358975,0.028073885122239458,156.0,5,1.0000±0.0000,0.7360±0.0231,0.9654±0.0097,0.6624±0.0281
50,CBF,CBF-wangchanberta-base-att-spm-uncased,wangchanberta-base-att-spm-uncased,1.0,0.0,0.7190231729733922,0.02813751188311646,0.976923076923077,0.013292590611107546,0.6379197191697192,0.03908474972256213,156.0,5,1.0000±0.0000,0.7190±0.0281,0.9769±0.0133,0.6379±0.0391
50,CBF,CBF-Qwen2-0.5B,Qwen2-0.5B,1.0,0.0,0.7091438232124125,0.03549619041393611,0.964102564102564,0.005733507634614825,0.6284500328731099,0.04506520490714551,156.0,5,1.0000±0.0000,0.7091±0.0355,0.9641±0.0057,0.6285±0.0451
50,CF,CF-SVD,SVD,1.0,0.0,0.6970531795362064,0.017173958173937753,0.9576923076923076,0.011644809054221167,0.6144159544159545,0.022809473777070464,156.0,5,1.0000±0.0000,0.6971±0.0172,0.9577±0.0116,0.6144±0.0228
50,CF,CF-NCF,NCF,1.0,0.0,0.5774682012113878,0.0446816899550336,0.826923076923077,0.0556991897339191,0.500841982091982,0.042656184547937744,156.0,5,1.0000±0.0000,0.5775±0.0447,0.8269±0.0557,0.5008±0.0427
50,CF,CF-ItemKNN,ItemKNN,1.0,0.0,0.4129779519580956,0.019051686078948214,0.7576923076923077,0.030875883535364874,0.3051348607400645,0.015993237146063374,156.0,5,1.0000±0.0000,0.4130±0.0191,0.7577±0.0309,0.3051±0.0160
50,POP,POP-Context,ContextMostPopular,1.0,0.0,0.2345049723462759,0.026352592378311154,0.4269230769230769,0.03027107423876306,0.17599287426121196,0.025770011921510724,156.0,5,1.0000±0.0000,0.2345±0.0264,0.4269±0.0303,0.1760±0.0258
50,POP,POP-Global,GlobalMostPopular,1.0,0.0,0.2345049723462759,0.026352592378311154,0.4269230769230769,0.03027107423876306,0.17599287426121196,0.025770011921510724,156.0,5,1.0000±0.0000,0.2345±0.0264,0.4269±0.0303,0.1760±0.0258
100,CBF,CBF-multilingual-e5-large,multilingual-e5-large,1.0,0.0,0.8719142693678095,0.015950988203026744,0.9923076923076923,0.00835795180154187,0.8321167543282927,0.01909468558205664,156.0,5,1.0000±0.0000,0.8719±0.0160,0.9923±0.0084,0.8321±0.0191
