model_family,model_name,MAX_CANDS,attempted_runs,successful_runs,feasible_cases_mean,fail_reason_top1,fail_reason_top2,fail_reason_top3
CBF,paraphrase-multilingual-mpnet-base-v2,50,5,5,156.0,,,
CBF,paraphrase-multilingual-mpnet-base-v2,100,5,5,156.0,,,
CBF,paraphrase-multilingual-mpnet-base-v2,200,5,5,156.0,,,
CBF,wangchanberta-base-att-spm-uncased,50,5,5,156.0,,,
CBF,wangchanberta-base-att-spm-uncased,100,5,5,156.0,,,
CBF,wangchanberta-base-att-spm-uncased,200,5,5,156.0,,,
CBF,multilingual-e5-large,50,5,5,156.0,,,
CBF,multilingual-e5-large,100,5,5,156.0,,,
CBF,multilingual-e5-large,200,5,5,156.0,,,
CBF,bge-m3,50,5,5,156.0,,,
CBF,bge-m3,100,5,5,156.0,,,
CBF,bge-m3,200,5,5,156.0,,,
CBF,Qwen2-0.5B,50,5,5,156.0,,,
CBF,Qwen2-0.5B,100,5,5,156.0,,,
CBF,Qwen2-0.5B,200,5,5,156.0,,,
CF,SVD,50,5,5,156.0,,,
CF,SVD,100,5,5,156.0,,,
CF,SVD,200,5,5,156.0,,,
CF,ItemKNN,50,5,5,156.0,,,
CF,ItemKNN,100,5,5,156.0,,,
CF,ItemKNN,200,5,5,156.0,,,
CF,NCF,50,5,5,156.0,,,
CF,NCF,100,5,5,156.0,,,
CF,NCF,200,5,5,156.0,,,
CF,LightGCN,50,5,5,156.0,,,
CF,LightGCN,100,5,5,156.0,,,
CF,LightGCN,200,5,5,156.0,,,
POP,GlobalMostPopular,50,5,5,156.0,,,
POP,GlobalMostPopular,100,5,5,156.0,,,
POP,GlobalMostPopular,200,5,5,156.0,,,
POP,ContextMostPopular,50,5,5,156.0,,,
POP,ContextMostPopular,100,5,5,156.0,,,
POP,ContextMostPopular,200,5,5,156.0,,,
HYBRID,Hybrid-WeightedSum,50,5,5,156.0,,,
HYBRID,Hybrid-WeightedSum,100,5,5,156.0,,,
HYBRID,Hybrid-WeightedSum,200,5,5,156.0,,,
HYBRID,Hybrid-Cascade,50,5,5,156.0,,,
HYBRID,Hybrid-Cascade,100,5,5,156.0,,,
HYBRID,Hybrid-Cascade,200,5,5,156.0,,,
HYBRID,Hybrid-Switching,50,5,5,156.0,,,
HYBRID,Hybrid-Switching,100,5,5,156.0,,,
HYBRID,Hybrid-Switching,200,5,5,156.0,,,
HYBRID,Hybrid-RRF,50,5,5,156.0,,,
HYBRID,Hybrid-RRF,100,5,5,156.0,,,
HYBRID,Hybrid-RRF,200,5,5,156.0,,,
