seed,MAX_CANDS,hybrid_method,best_val_ndcg@10,best_params_json,alpha_ws,threshold_cas,k_rrf,b_val_cf,test_ndcg@10,test_hr@10,test_mrr@10,cbf_model,cf_model
42,50,RRF,0.8381708824037738,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 30, ""b_val_cf"": 0.08}",0.0,0.3,30,0.08,0.8274324064082157,0.9743589743589743,0.778329772079772,intfloat/multilingual-e5-large,LightGCN
42,100,RRF,0.8789181011724312,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8623175994343006,0.9871794871794872,0.8209808709808709,intfloat/multilingual-e5-large,LightGCN
42,200,RRF,0.8747119955930241,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8179130181022433,0.9935897435897436,0.761302355052355,intfloat/multilingual-e5-large,LightGCN
123,50,RRF,0.8472307531439975,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.7922527442385625,1.0,0.7233160358160357,intfloat/multilingual-e5-large,LightGCN
123,100,RRF,0.8261403604910239,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8234076593651551,0.9871794871794872,0.7686609686609687,intfloat/multilingual-e5-large,LightGCN
123,200,RRF,0.8439063778025986,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.781821768894776,0.9615384615384616,0.7212403337403338,intfloat/multilingual-e5-large,LightGCN
555,50,RRF,0.8616318489485016,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8657552552942053,1.0,0.8208943833943837,intfloat/multilingual-e5-large,LightGCN
555,100,RRF,0.8522532773720264,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.858041966319534,0.9871794871794872,0.8150259462759462,intfloat/multilingual-e5-large,LightGCN
555,200,RRF,0.8422104859789997,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8520202960233109,0.9935897435897436,0.8053317053317053,intfloat/multilingual-e5-large,LightGCN
999,50,RRF,0.8524193324620438,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8337512130091695,0.9807692307692307,0.784437321937322,intfloat/multilingual-e5-large,LightGCN
999,100,RRF,0.8668928927287004,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8467973415281085,0.9871794871794872,0.8005418192918193,intfloat/multilingual-e5-large,LightGCN
999,200,RRF,0.862411005553709,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 30, ""b_val_cf"": 0.08}",0.0,0.3,30,0.08,0.8379752682463334,0.9807692307692307,0.790481277981278,intfloat/multilingual-e5-large,LightGCN
2024,50,RRF,0.8748261989717698,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8392948421338107,0.9935897435897436,0.7885302197802198,intfloat/multilingual-e5-large,LightGCN
2024,100,RRF,0.8564097535615827,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8372811030526114,0.9743589743589743,0.7921957671957672,intfloat/multilingual-e5-large,LightGCN
2024,200,RRF,0.8520092962108734,"{""alpha"": 0.0, ""threshold"": 0.3, ""k_rrf"": 10, ""b_val_cf"": 0.08}",0.0,0.3,10,0.08,0.8397997708351076,0.9807692307692307,0.7928952991452993,intfloat/multilingual-e5-large,LightGCN
